정류장번호,정류장명,위도,경도,정보수집일,모바일단축번호,도시코드,도시명,관리도시명
GGB233001415,양지말입구,37.2052833,126.7157667,2025-10-31,37539.0,31240,경기도 화성시,경기BIS
GGB233001416,주곡1리입구,37.1164833,126.8188167,2025-10-31,37538.0,31240,경기도 화성시,경기BIS
GGB233001417,주곡2리(회차),37.1142667,126.8044333,2025-10-31,37537.0,31240,경기도 화성시,경기BIS
GGB233001418,장안9리입구,37.0606333,126.8545833,2025-10-31,36986.0,31240,경기도 화성시,경기BIS
GGB233001419,장안6리,37.0523667,126.85635,2025-10-31,36985.0,31240,경기도 화성시,경기BIS
GGB233001420,장안3리,37.0417333,126.8520167,2025-10-31,36722.0,31240,경기도 화성시,경기BIS
GGB233001421,장안8리,37.0379167,126.8465833,2025-10-31,37536.0,31240,경기도 화성시,경기BIS
GGB233001422,장명초분교,37.03795,126.8440167,2025-10-31,36984.0,31240,경기도 화성시,경기BIS
GGB233001423,장안제일교회,37.0346333,126.8432333,2025-10-31,36983.0,31240,경기도 화성시,경기BIS
GGB233001424,장안제일교회,37.0347,126.84335,2025-10-31,36982.0,31240,경기도 화성시,경기BIS
GGB233001425,장안4리(고잔)종점,37.0364833,126.8373,2025-10-31,37535.0,31240,경기도 화성시,경기BIS
GGB233001426,멱우2리,37.1020667,126.8137167,2025-10-31,36923.0,31240,경기도 화성시,경기BIS
GGB233001427,봉담자이프라이드시티,37.2259667,126.9270333,2025-10-31,36595.0,31240,경기도 화성시,경기BIS
GGB233001428,장안9리입구,37.0606,126.8544667,2025-10-31,36981.0,31240,경기도 화성시,경기BIS
GGB233001429,장명초분교,37.0374833,126.8438667,2025-10-31,36980.0,31240,경기도 화성시,경기BIS
GGB233001430,장안8리,37.0377833,126.8466,2025-10-31,37619.0,31240,경기도 화성시,경기BIS
GGB233001431,장안3리,37.0416,126.8521,2025-10-31,36714.0,31240,경기도 화성시,경기BIS
GGB233001432,장안6리.물구리,37.0523333,126.8564667,2025-10-31,36713.0,31240,경기도 화성시,경기BIS
GGB233001433,인제카센터,37.0367667,126.7656333,2025-10-31,36583.0,31240,경기도 화성시,경기BIS
GGB233001434,조암시장,37.0815333,126.8156167,2025-10-31,55077.0,31240,경기도 화성시,경기BIS
GGB233001435,화성시청,37.1978333,126.8284833,2025-10-31,36977.0,31240,경기도 화성시,경기BIS
GGB233001436,이주단지,37.2117667,127.0641167,2025-10-31,36961.0,31240,경기도 화성시,경기BIS
GGB233001437,개나리공원,37.21135,127.0677167,2025-10-31,37533.0,31240,경기도 화성시,경기BIS
GGB233001438,개나리공원,37.2117,127.06755,2025-10-31,36721.0,31240,경기도 화성시,경기BIS
GGB233001439,이주단지,37.2119,127.0653167,2025-10-31,36960.0,31240,경기도 화성시,경기BIS
GGB233001440,발안공단로4길교차로,37.0844333,126.89965,2025-10-31,37770.0,31240,경기도 화성시,경기BIS
GGB233001441,공청2,37.2276667,126.94505,2025-10-31,55739.0,31240,경기도 화성시,경기BIS
GGB233001442,송산교입구,37.2071833,127.02565,2025-10-31,36959.0,31240,경기도 화성시,경기BIS
GGB233001443,송산교차로,37.1067667,126.9877667,2025-10-31,36958.0,31240,경기도 화성시,경기BIS
GGB233001444,외골,37.154,126.9683,2025-10-31,36957.0,31240,경기도 화성시,경기BIS
GGB233001445,문학4리.마을회관앞,37.1513667,126.9718,2025-10-31,37530.0,31240,경기도 화성시,경기BIS
GGB233001446,요당리,37.0684167,126.93655,2025-10-31,60029.0,31240,경기도 화성시,경기BIS
GGB233001447,동탄국제고등학교,37.1890167,127.0794667,2025-10-31,36676.0,31240,경기도 화성시,경기BIS
GGB233001448,나루마을.월드반도,37.1908,127.0765167,2025-10-31,36678.0,31240,경기도 화성시,경기BIS
GGB233001449,쌍용예가,37.1935,127.0718,2025-10-31,36675.0,31240,경기도 화성시,경기BIS
GGB233001450,솔빛마을.화성동탄중앙도서관,37.1958167,127.0696333,2025-10-31,36680.0,31240,경기도 화성시,경기BIS
GGB233001451,반월2통,37.2194667,127.0573333,2025-10-31,36389.0,31240,경기도 화성시,경기BIS
GGB233001452,새강마을.화성동탄중앙도서관,37.1956667,127.0692,2025-10-31,37584.0,31240,경기도 화성시,경기BIS
GGB233001453,새강주공휴먼시아,37.1932333,127.0716167,2025-10-31,37585.0,31240,경기도 화성시,경기BIS
GGB233001454,탄요유적공원,37.1906167,127.0762333,2025-10-31,37586.0,31240,경기도 화성시,경기BIS
GGB233001455,동탄국제고등학교,37.1890667,127.0791833,2025-10-31,36677.0,31240,경기도 화성시,경기BIS
GGB233001456,아너스호텔,37.2201333,127.0584833,2025-10-31,36390.0,31240,경기도 화성시,경기BIS
GGB233001457,와우농협앞,37.218,126.9746333,2025-10-31,37529.0,31240,경기도 화성시,경기BIS
GGB233001458,힐스테이트봉담프라이드시티,37.2236333,126.9245667,2025-10-31,36596.0,31240,경기도 화성시,경기BIS
GGB233001459,힐스테이트봉담프라이드시티,37.2239,126.92495,2025-10-31,36597.0,31240,경기도 화성시,경기BIS
GGB233001460,사강3리,37.22685,126.7275333,2025-10-31,60074.0,31240,경기도 화성시,경기BIS
GGB233001461,쌍정리,37.2307167,126.7242333,2025-10-31,60075.0,31240,경기도 화성시,경기BIS
GGB233001462,쌍정2리.잿말,37.2329333,126.7274,2025-10-31,37609.0,31240,경기도 화성시,경기BIS
GGB233001463,쌍정2리.잿말,37.2338,126.7251833,2025-10-31,37608.0,31240,경기도 화성시,경기BIS
GGB233001467,쌍정2리,37.2344667,126.73005,2025-10-31,60076.0,31240,경기도 화성시,경기BIS
GGB233001468,봉담자이프라이드시티,37.2257667,126.9271167,2025-10-31,36598.0,31240,경기도 화성시,경기BIS
GGB233001469,용포1리,37.2294667,126.7581667,2025-10-31,37560.0,31240,경기도 화성시,경기BIS
GGB233001470,용포1리.당뫼,37.2311,126.7535833,2025-10-31,36744.0,31240,경기도 화성시,경기BIS
GGB233001471,용포1리.당뫼,37.2310333,126.7534333,2025-10-31,36743.0,31240,경기도 화성시,경기BIS
GGB233001472,용포2리,37.2317833,126.7480833,2025-10-31,37602.0,31240,경기도 화성시,경기BIS
GGB233001473,용포2리.영계,37.2322833,126.7414167,2025-10-31,36746.0,31240,경기도 화성시,경기BIS
GGB233001475,중송1리,37.2241833,126.7061,2025-10-31,37046.0,31240,경기도 화성시,경기BIS
GGB233001476,마산2리,37.2329333,126.6856667,2025-10-31,55863.0,31240,경기도 화성시,경기BIS
GGB233001477,고포2리,37.2367,126.6794667,2025-10-31,55864.0,31240,경기도 화성시,경기BIS
GGB233001478,고포1리,37.2408667,126.6672667,2025-10-31,55865.0,31240,경기도 화성시,경기BIS
GGB233001479,농협하나로마트,37.1289167,126.91065,2025-10-31,37381.0,31240,경기도 화성시,경기BIS
GGB233001480,수리재,37.1132667,126.9349667,2025-10-31,37559.0,31240,경기도 화성시,경기BIS
GGB233001482,육일리교차로,37.2033333,126.7244,2025-10-31,37557.0,31240,경기도 화성시,경기BIS
GGB233001483,육일리교차로,37.2037,126.7242833,2025-10-31,37556.0,31240,경기도 화성시,경기BIS
GGB233001484,노작마을,37.1949333,127.08025,2025-10-31,37555.0,31240,경기도 화성시,경기BIS
GGB233001485,월드반도.노작마을,37.1946333,127.0802667,2025-10-31,37554.0,31240,경기도 화성시,경기BIS
GGB233001486,노작마을.한화우림,37.1961833,127.0773333,2025-10-31,37616.0,31240,경기도 화성시,경기BIS
GGB233001487,노작마을.한화우림,37.19575,127.0774667,2025-10-31,37553.0,31240,경기도 화성시,경기BIS
GGB233001488,솔빛마을.신도브래뉴,37.1959667,127.076,2025-10-31,37615.0,31240,경기도 화성시,경기BIS
GGB233001490,중흥에듀파크정문,37.2330167,126.9457167,2025-10-31,55921.0,31240,경기도 화성시,경기BIS
GGB233001491,반도1차.모아아파트,37.2018833,127.1141,2025-10-31,37551.0,31240,경기도 화성시,경기BIS
